GKZ;Gemeindename;BEZEICHNUNG
60209;Kapfenberg;12.-Februar-Straße
60210;Mariazell;Abt Otker-Gasse
60210;Mariazell;Abt Severin-Gasse
60209;Kapfenberg;Adalbert-Stifter-Straße
60213;Pernegg an der Mur;Adam Mölck-Weg
60212;Parschlug;Adamerweg
60209;Kapfenberg;Adolf-Loos-Weg
60201;Aflenz Kurort;Aflenz Kurort
60201;Aflenz Kurort;Aflenz Kurort Fölz
60211;Oberaich;Aichberghöhe
60211;Oberaich;Aichbergstraße
60204;Bruck an der Mur;Akazienweg
60212;Parschlug;Alaungrubenweg
60209;Kapfenberg;Albert-Böhler-Gasse
60212;Parschlug;Alexander-Silveri-Straße
60209;Kapfenberg;Alfons-Petzold-Gasse
60213;Pernegg an der Mur;Allee
60209;Kapfenberg;Alois-Lafer-Gasse
60203;Breitenau am Hochlantsch;Alois-Schwach-Siedlung
60204;Bruck an der Mur;Alte Wehrstraße
60207;Gußwerk;Alter Bad-Weg
60204;Bruck an der Mur;Altersheimgasse
60216;Sankt Lorenzen im Mürztal;Alt-Hadersdorf
60211;Oberaich;Alt-Mitteraich
60211;Oberaich;Am Aichberg
60212;Parschlug;Am Anger
60211;Oberaich;Am Bach
60218;Sankt Sebastian;Am Buchenkogel
60203;Breitenau am Hochlantsch;Am Eibegg
60212;Parschlug;Am Flöz
60218;Sankt Sebastian;Am Fluder
60218;Sankt Sebastian;Am Föhrenberg
60204;Bruck an der Mur;Am Grazer Tor
60204;Bruck an der Mur;Am Hang
60213;Pernegg an der Mur;Am Hang
60218;Sankt Sebastian;Am Hechtensee
60204;Bruck an der Mur;Am Hochanger
60213;Pernegg an der Mur;Am Hofacker
60209;Kapfenberg;Am Höllhammer
60213;Pernegg an der Mur;Am Kaserbach
60213;Pernegg an der Mur;Am Kirchkogel
60213;Pernegg an der Mur;Am Klammweg
60218;Sankt Sebastian;Am Köckensattel
60212;Parschlug;Am Kreuzacker
60210;Mariazell;Am Kreuzberg
60204;Bruck an der Mur;Am Kruckenfeld
60203;Breitenau am Hochlantsch;Am Leitnergrund
60212;Parschlug;Am Moos
60216;Sankt Lorenzen im Mürztal;Am Moos
60217;Sankt Marein im Mürztal;Am Mühlberg
60213;Pernegg an der Mur;Am Murfeld
60209;Kapfenberg;Am Pichl
60207;Gußwerk;Am Postplatzl
60217;Sankt Marein im Mürztal;Am Ried
60209;Kapfenberg;Am Sagacker
60204;Bruck an der Mur;Am Schiffertor
60218;Sankt Sebastian;Am Sonnenhang
60213;Pernegg an der Mur;Am Stausee
60216;Sankt Lorenzen im Mürztal;Am Stollingbach
60217;Sankt Marein im Mürztal;Am Stollingbach
60203;Breitenau am Hochlantsch;Am Straßegg
60216;Sankt Lorenzen im Mürztal;Am Straßenfeld
60212;Parschlug;Am Tauchnergrund
60213;Pernegg an der Mur;Am Teichbach
60216;Sankt Lorenzen im Mürztal;Am Weinberg
60204;Bruck an der Mur;Am Wiener Tor
60213;Pernegg an der Mur;Am Wiesengrund
60207;Gußwerk;Am Wiesenweg
60218;Sankt Sebastian;Am Zellerrain
60209;Kapfenberg;Amselweg
60211;Oberaich;Amselweg
60218;Sankt Sebastian;An der Forststraße
60218;Sankt Sebastian;An der Museumsbahn
60204;Bruck an der Mur;An der Postwiese
60217;Sankt Marein im Mürztal;Andreas-Hofer-Straße
60210;Mariazell;Annaburg
60210;Mariazell;Anton Bruckner-Gasse
60216;Sankt Lorenzen im Mürztal;Anton Pirchegger-Weg
60209;Kapfenberg;Anton-Afritsch-Weg
60209;Kapfenberg;Anton-Bruckner-Straße
60209;Kapfenberg;Anton-Buchalka-Straße
60213;Pernegg an der Mur;Antoniaweg
60211;Oberaich;Antonistraße
60209;Kapfenberg;Anton-Mühlbacher-Straße
60209;Kapfenberg;Anton-Paar-Siedlung
60204;Bruck an der Mur;Anzengrubergasse
60217;Sankt Marein im Mürztal;Anzengrubergasse
60204;Bruck an der Mur;Apfelgasse
60209;Kapfenberg;Arndorf
60209;Kapfenberg;Arndorfer Leiten
60204;Bruck an der Mur;Arndorfer Straße
60209;Kapfenberg;Arndorfer Weg
60218;Sankt Sebastian;Arnstorfer Bühel
60210;Mariazell;Arthur Krupp-Platz
60207;Gußwerk;Aschbach
60221;Turnau;Au bei Turnau
60209;Kapfenberg;Auer-von-Welsbach-Weg
60204;Bruck an der Mur;Auf der Schweizeben
60204;Bruck an der Mur;Auf der Sonnwiese
60212;Parschlug;Auf der Weide
60216;Sankt Lorenzen im Mürztal;August Musger-Weg
60209;Kapfenberg;Auweg
60213;Pernegg an der Mur;Auweg
60217;Sankt Marein im Mürztal;Auweg
60204;Bruck an der Mur;Bachgasse
60209;Kapfenberg;Bachgasse
60213;Pernegg an der Mur;Bachweg
60216;Sankt Lorenzen im Mürztal;Bachweg
60218;Sankt Sebastian;Bachweg
60217;Sankt Marein im Mürztal;Bäckergasse
60213;Pernegg an der Mur;Badgasse
60203;Breitenau am Hochlantsch;Bahngasse
60204;Bruck an der Mur;Bahnhofstraße
