GKZ;Gemeindename;BEZEICHNUNG
60201;Aflenz Kurort;Aflenz Kurort
60201;Aflenz Kurort;Aflenz Kurort Fölz
60201;Aflenz Kurort;Bürgeralm
60202;Aflenz Land;Bergerbauer
60202;Aflenz Land;Döllach
60202;Aflenz Land;Dörflach
60202;Aflenz Land;Draiach
60202;Aflenz Land;Feistring
60202;Aflenz Land;Graßnitz
60202;Aflenz Land;Jauring
60202;Aflenz Land;Oischingalm
60202;Aflenz Land;Schießlingalm-Boden
60202;Aflenz Land;Schießlingalm-Riegel
60202;Aflenz Land;Seebach
60202;Aflenz Land;Thullin
60202;Aflenz Land;Tutschach
60202;Aflenz Land;Zöbriach
60203;Breitenau am Hochlantsch;Alois-Schwach-Siedlung
60203;Breitenau am Hochlantsch;Am Eibegg
60203;Breitenau am Hochlantsch;Am Leitnergrund
60203;Breitenau am Hochlantsch;Am Straßegg
60203;Breitenau am Hochlantsch;Bahngasse
60203;Breitenau am Hochlantsch;Breitenauer Straße
60203;Breitenau am Hochlantsch;Eibeggsiedlung
60203;Breitenau am Hochlantsch;Erhardstraße
60203;Breitenau am Hochlantsch;Hubertusweg
60203;Breitenau am Hochlantsch;Klammgraben
60203;Breitenau am Hochlantsch;Knollgraben
60203;Breitenau am Hochlantsch;Lantsch
60203;Breitenau am Hochlantsch;Magnesitstraße
60203;Breitenau am Hochlantsch;Rassgraben
60203;Breitenau am Hochlantsch;Sankt Erhard
60203;Breitenau am Hochlantsch;Sankt Jakob
60203;Breitenau am Hochlantsch;Schlaggraben
60203;Breitenau am Hochlantsch;Sonnleiten
60203;Breitenau am Hochlantsch;Steindlweg
60203;Breitenau am Hochlantsch;Strasseggerweg
60203;Breitenau am Hochlantsch;Tiefenbachgraben
60203;Breitenau am Hochlantsch;Zintonergraben
60204;Bruck an der Mur;Akazienweg
60204;Bruck an der Mur;Alte Wehrstraße
60204;Bruck an der Mur;Altersheimgasse
60204;Bruck an der Mur;Am Grazer Tor
60204;Bruck an der Mur;Am Hang
60204;Bruck an der Mur;Am Hochanger
60204;Bruck an der Mur;Am Kruckenfeld
60204;Bruck an der Mur;Am Schiffertor
60204;Bruck an der Mur;Am Wiener Tor
60204;Bruck an der Mur;An der Postwiese
60204;Bruck an der Mur;Anzengrubergasse
60204;Bruck an der Mur;Apfelgasse
60204;Bruck an der Mur;Arndorfer Straße
60204;Bruck an der Mur;Auf der Schweizeben
60204;Bruck an der Mur;Auf der Sonnwiese
60204;Bruck an der Mur;Bachgasse
60204;Bruck an der Mur;Bahnhofstraße
60204;Bruck an der Mur;Bahnweg
60204;Bruck an der Mur;Barbaraweg
60204;Bruck an der Mur;Baumschulgasse
60204;Bruck an der Mur;Bayerhofstraße
60204;Bruck an der Mur;Beethovenweg
60204;Bruck an der Mur;Bergbaustraße
60204;Bruck an der Mur;Bergstraße
60204;Bruck an der Mur;Bienengasse
60204;Bruck an der Mur;Bienensteinstraße
60204;Bruck an der Mur;Birkengasse
60204;Bruck an der Mur;Blumengasse
60204;Bruck an der Mur;Brahmsgasse
60204;Bruck an der Mur;Brandstetterstraße
60204;Bruck an der Mur;Braunschmiedgasse
60204;Bruck an der Mur;Brückengasse
60204;Bruck an der Mur;Brucknergasse
60204;Bruck an der Mur;Buchenweg
60204;Bruck an der Mur;Burggasse
60204;Bruck an der Mur;Carl-Morre-Gasse
60204;Bruck an der Mur;Demarstraße
60204;Bruck an der Mur;Dr.-Karl-Renner-Straße
60204;Bruck an der Mur;Dr.-Lueger-Straße
60204;Bruck an der Mur;Dr.-Theodor-Körner-Straße
60204;Bruck an der Mur;Drahtgasse
60204;Bruck an der Mur;Dürrnbergweg
60204;Bruck an der Mur;Einöd
60204;Bruck an der Mur;Einödfeld
60204;Bruck an der Mur;Einödgasse
60204;Bruck an der Mur;Eisenwerkgasse
60204;Bruck an der Mur;Erich-Schmid-Straße
60204;Bruck an der Mur;Erlenweg
60204;Bruck an der Mur;Erzherzog-Johann-Gasse
60204;Bruck an der Mur;Etzersteig
60204;Bruck an der Mur;E-Werkstraße
60204;Bruck an der Mur;Fabriksgasse
60204;Bruck an der Mur;Feldgasse
60204;Bruck an der Mur;Fleischhackeralm
60204;Bruck an der Mur;Flurgasse
60204;Bruck an der Mur;Franz-Liszt-Weg
60204;Bruck an der Mur;Fraunedergasse
60204;Bruck an der Mur;Fridrichallee
60204;Bruck an der Mur;Fridrichplatzl
60204;Bruck an der Mur;Friedrich-Ludwig-Jahn-Straße
60204;Bruck an der Mur;Gabelsbergergasse
60204;Bruck an der Mur;Gallerbergweg
60204;Bruck an der Mur;Gartengasse
60204;Bruck an der Mur;Gärtnereiweg
60204;Bruck an der Mur;Genossenschaftsweg
60204;Bruck an der Mur;Gloriettsiedlung
60204;Bruck an der Mur;Gloriettweg
60204;Bruck an der Mur;Goethestraße
60204;Bruck an der Mur;Grabenfeldstraße
60204;Bruck an der Mur;Grazer Straße
60204;Bruck an der Mur;Grillparzerstraße
60204;Bruck an der Mur;Grünfeldgasse
60204;Bruck an der Mur;Hans-Prasser-Gasse
60204;Bruck an der Mur;Haydngasse
60204;Bruck an der Mur;Heberplatzl
60204;Bruck an der Mur;Heimbauweg
60204;Bruck an der Mur;Hermann-Löns-Gasse
60204;Bruck an der Mur;Herzog-Ernst-Gasse
60204;Bruck an der Mur;Heubergstraße
60204;Bruck an der Mur;Hochfeldgasse
60204;Bruck an der Mur;Hoher Markt
60204;Bruck an der Mur;Höllhammerweg
60204;Bruck an der Mur;Hubertusstraße
60204;Bruck an der Mur;Hugo-von-Montfort-Gasse
60204;Bruck an der Mur;Im Glanzgraben
60204;Bruck an der Mur;Industriegasse
60204;Bruck an der Mur;Jägergasse
60204;Bruck an der Mur;Johann-Fux-Straße
60204;Bruck an der Mur;Johann-Strauß-Gasse
60204;Bruck an der Mur;Josef-Graf-Gasse
60204;Bruck an der Mur;Kaltbach
60204;Bruck an der Mur;Kaltbachsiedlung
60204;Bruck an der Mur;Kaltbachstraße
60204;Bruck an der Mur;Kaltschmidstraße
60204;Bruck an der Mur;Kalvarienbergweg
60204;Bruck an der Mur;Keplerstraße
60204;Bruck an der Mur;Kirchplatz
60204;Bruck an der Mur;Knottingerstraße
60204;Bruck an der Mur;Koloman-Wallisch-Platz
60204;Bruck an der Mur;Kreckerstraße
60204;Bruck an der Mur;Kupferschmiedgasse
60204;Bruck an der Mur;Lamingfeldsiedlung A
60204;Bruck an der Mur;Lamingfeldsiedlung B
60204;Bruck an der Mur;Lamingfeldsiedlung C
60204;Bruck an der Mur;Lamingfeldsiedlung D
60204;Bruck an der Mur;Lamingfeldsiedlung E
60204;Bruck an der Mur;Lamingfeldsiedlung F
60204;Bruck an der Mur;Lamingfeldsiedlung G
60204;Bruck an der Mur;Laminggasse
60204;Bruck an der Mur;Landskrongasse
60204;Bruck an der Mur;Lastenstraße
60204;Bruck an der Mur;Laubengasse
60204;Bruck an der Mur;Leharstraße
60204;Bruck an der Mur;Lehmgasse
60204;Bruck an der Mur;Leobner Straße
60204;Bruck an der Mur;Lerchenweg
60204;Bruck an der Mur;Lessingstraße
60204;Bruck an der Mur;Lichtensteinstraße
60204;Bruck an der Mur;Madereckweg
60204;Bruck an der Mur;Marburger Straße
60204;Bruck an der Mur;Martin-Luther-Straße
60204;Bruck an der Mur;Maurergasse
60204;Bruck an der Mur;Max-Mell-Straße
60204;Bruck an der Mur;Minoritenplatz
60204;Bruck an der Mur;Mittergasse
60204;Bruck an der Mur;Moosweg
60204;Bruck an der Mur;Mozartgasse
60204;Bruck an der Mur;Murinsel
60204;Bruck an der Mur;Murinselallee
60204;Bruck an der Mur;Murpark
60204;Bruck an der Mur;Murstraße
60204;Bruck an der Mur;Mürzgasse
60204;Bruck an der Mur;Nagelschmiedgasse
60204;Bruck an der Mur;Nelkengasse
60204;Bruck an der Mur;Neubaugasse
60204;Bruck an der Mur;Neue Gasse
60204;Bruck an der Mur;Neue-Welt-Gasse
60204;Bruck an der Mur;Nikolausweg
60204;Bruck an der Mur;Oberdorfer Straße
60204;Bruck an der Mur;Oberdorfer Straße-Feltensiedlung
60204;Bruck an der Mur;Obere Siedlungsgasse
60204;Bruck an der Mur;Oberer Höhenweg
60204;Bruck an der Mur;Ostring
60204;Bruck an der Mur;Ottokar-Kernstock-Straße
60204;Bruck an der Mur;Parkgasse
60204;Bruck an der Mur;Paulahofer Siedlungsstraße
60204;Bruck an der Mur;Petzoldgasse
60204;Bruck an der Mur;Pischkalm
60204;Bruck an der Mur;Pischkberg
60204;Bruck an der Mur;Pischker Straße
60204;Bruck an der Mur;Piusallee
60204;Bruck an der Mur;Platz der Menschenrechte
60204;Bruck an der Mur;Pögl-Hof
60204;Bruck an der Mur;Primbschweg
60204;Bruck an der Mur;Propsteigasse
60204;Bruck an der Mur;Propst-Weinberger-Straße
60204;Bruck an der Mur;Raiffeisenstraße
60204;Bruck an der Mur;Rennfeld
60204;Bruck an der Mur;Rennfeldweg
60204;Bruck an der Mur;Richard-Wagner-Straße
60204;Bruck an der Mur;Ringelschmiedgasse
60204;Bruck an der Mur;Ritting
60204;Bruck an der Mur;Robert-Stolz-Weg
60204;Bruck an der Mur;Roseggerstraße
60204;Bruck an der Mur;Sackgasse
60204;Bruck an der Mur;Sandstraße
60204;Bruck an der Mur;Sankt-Ruprecht-Straße
60204;Bruck an der Mur;Schiffgasse
60204;Bruck an der Mur;Schiffländ
60204;Bruck an der Mur;Schillerstraße
60204;Bruck an der Mur;Schleppbahngasse
60204;Bruck an der Mur;Schloßbergsteig
60204;Bruck an der Mur;Schubertgasse
60204;Bruck an der Mur;Sebald-Pögl-Weg
60204;Bruck an der Mur;Seifensiedergasse
60204;Bruck an der Mur;Siedlung Westend
60204;Bruck an der Mur;Sonnengasse
60204;Bruck an der Mur;Stadionstraße
60204;Bruck an der Mur;Stadtwaldstraße
60204;Bruck an der Mur;Stadtwerkestraße
60204;Bruck an der Mur;Stegg
60204;Bruck an der Mur;Steinbruchweg
60204;Bruck an der Mur;Südtiroler Straße
60204;Bruck an der Mur;Tanzbergweg
60204;Bruck an der Mur;Tragösser Straße
60204;Bruck an der Mur;Übelstein
60204;Bruck an der Mur;Übelsteiner Straße
60204;Bruck an der Mur;Umspannwerkgasse
60204;Bruck an der Mur;Untere Siedlungsgasse
60204;Bruck an der Mur;Unterer Höhenweg
60204;Bruck an der Mur;Viktor-Kaplan-Gasse
60204;Bruck an der Mur;Vinzenz-Till-Gasse
60204;Bruck an der Mur;Waldrandsiedlung
60204;Bruck an der Mur;Waldweg
60204;Bruck an der Mur;Wiener Straße
60204;Bruck an der Mur;Wiesenweg
60204;Bruck an der Mur;Wüstenroter Straße
60204;Bruck an der Mur;Ziegeleiweg
60204;Bruck an der Mur;Ziegelofenweg
60205;Etmißl;Etmißl
60205;Etmißl;Lonschitz
60205;Etmißl;Oisching
60206;Frauenberg;Frauenberg
60206;Frauenberg;Graschnitzgraben
60207;Gußwerk;Alter Bad-Weg
60207;Gußwerk;Am Postplatzl
60207;Gußwerk;Am Wiesenweg
60207;Gußwerk;Aschbach
60207;Gußwerk;Bahnhofstraße
60207;Gußwerk;Bohrwerk
60207;Gußwerk;Brandhof
60207;Gußwerk;Dürradmer
60207;Gußwerk;Fallenstein
60207;Gußwerk;Feldspitz
60207;Gußwerk;Freistättersiedlung
60207;Gußwerk;Gleißnerhof
60207;Gußwerk;Gollrad
60207;Gußwerk;Greith
60207;Gußwerk;Grüner Baum
60207;Gußwerk;Gschöder
60207;Gußwerk;Härtehammer
60207;Gußwerk;Hauptstraße
60207;Gußwerk;Hochschwabstraße
60207;Gußwerk;Höll
60207;Gußwerk;Johannesplatz
60207;Gußwerk;Kernboden
60207;Gußwerk;Kirchplatz
60207;Gußwerk;Knappengraben
60207;Gußwerk;Lärchkogelstraße
60207;Gußwerk;Leitnerweg
60207;Gußwerk;Lendstraße
60207;Gußwerk;Lieglergraben
60207;Gußwerk;Moosbach
60207;Gußwerk;Niederalpl
60207;Gußwerk;Oberkogelbauerweg
60207;Gußwerk;Oberwegscheid
60207;Gußwerk;Oisching
60207;Gußwerk;Pfannhammer
60207;Gußwerk;Prescenyklause
60207;Gußwerk;Ramsau
60207;Gußwerk;Rosenhügel
60207;Gußwerk;Rotmoos
60207;Gußwerk;Rotsohl
60207;Gußwerk;Sägestraße
60207;Gußwerk;Salzahammer
60207;Gußwerk;Salzaklamm
60207;Gußwerk;Salzatal
60207;Gußwerk;Sauwandweg
60207;Gußwerk;Schießgrabenweg
60207;Gußwerk;Seebergstraße
60207;Gußwerk;Steinschale
60207;Gußwerk;Tribeinsiedlung
60207;Gußwerk;Waldau
60207;Gußwerk;Waldsiedel
60207;Gußwerk;Wegscheid
60207;Gußwerk;Weichselboden
60207;Gußwerk;Zur Waldpromenade
60208;Halltal;Braschlweg
60208;Halltal;Freingraben
60208;Halltal;Gracherhof
60208;Halltal;Halltal
60208;Halltal;Mooshuben
60208;Halltal;Rechengraben
60208;Halltal;Schöneben
60208;Halltal;Walstern
60209;Kapfenberg;12.-Februar-Straße
60209;Kapfenberg;Adalbert-Stifter-Straße
60209;Kapfenberg;Adolf-Loos-Weg
60209;Kapfenberg;Albert-Böhler-Gasse
60209;Kapfenberg;Alfons-Petzold-Gasse
60209;Kapfenberg;Alois-Lafer-Gasse
60209;Kapfenberg;Am Höllhammer
60209;Kapfenberg;Am Pichl
60209;Kapfenberg;Am Sagacker
60209;Kapfenberg;Amselweg
60209;Kapfenberg;Anton-Afritsch-Weg
60209;Kapfenberg;Anton-Bruckner-Straße
60209;Kapfenberg;Anton-Buchalka-Straße
60209;Kapfenberg;Anton-Mühlbacher-Straße
60209;Kapfenberg;Anton-Paar-Siedlung
60209;Kapfenberg;Arndorf
60209;Kapfenberg;Arndorfer Leiten
60209;Kapfenberg;Arndorfer Weg
60209;Kapfenberg;Auer-von-Welsbach-Weg
60209;Kapfenberg;Auweg
60209;Kapfenberg;Bachgasse
60209;Kapfenberg;Bahnstraße
60209;Kapfenberg;Beethovenstraße
60209;Kapfenberg;Berggasse
60209;Kapfenberg;Birkensiedlung
60209;Kapfenberg;Böhlerdurplatz
60209;Kapfenberg;Böhler-Welding-Straße
60209;Kapfenberg;Brahmsgasse
60209;Kapfenberg;Bräuerleiten
60209;Kapfenberg;Brauhausgasse
60209;Kapfenberg;Breitnergasse
60209;Kapfenberg;Brückengasse
60209;Kapfenberg;Brunnengasse
60209;Kapfenberg;Buchmoarweg
60209;Kapfenberg;Burgstallweg
60209;Kapfenberg;Carl-Morre-Straße
60209;Kapfenberg;Dammweg
60209;Kapfenberg;DDr.-Alfred-Schachner-Hof
60209;Kapfenberg;Deuchendorf
60209;Kapfenberg;DI.-Karl-Waldbrunner-Hof
60209;Kapfenberg;Diemlacher Weg
60209;Kapfenberg;Dohlengasse
60209;Kapfenberg;Dr.-Alfons-Gorbach-Hof
60209;Kapfenberg;Dr.-h.c.-Reinhard-Machold-Hof
60209;Kapfenberg;Dr.-Josef-Sperl-Straße
60209;Kapfenberg;Dr.-Kloepfer-Weg
60209;Kapfenberg;Drosselgasse
60209;Kapfenberg;Eichensiedlung
60209;Kapfenberg;Emberg bei Kapfenberg
60209;Kapfenberg;Emberg-Nord
60209;Kapfenberg;Embergsiedlung
60209;Kapfenberg;Emberg-Süd
60209;Kapfenberg;Enge Gasse
60209;Kapfenberg;Falkengasse
60209;Kapfenberg;Fehrenbergweg
60209;Kapfenberg;Feldgasse
60209;Kapfenberg;Ferdinand-Hanusch-Gasse
60209;Kapfenberg;Finkenweg
60209;Kapfenberg;Floning
60209;Kapfenberg;Flurgasse
60209;Kapfenberg;Franz-Domes-Gasse
60209;Kapfenberg;Franz-Eibel-Straße
60209;Kapfenberg;Franz-Liszt-Straße
60209;Kapfenberg;Franz-Nabl-Weg
60209;Kapfenberg;Frauenriegelgasse
60209;Kapfenberg;Frauenwiese
60209;Kapfenberg;Friedhofweg
60209;Kapfenberg;Friedlwiese
60209;Kapfenberg;Friedrich-Böhler-Straße
60209;Kapfenberg;Gartengasse
60209;Kapfenberg;Gärtnergasse
60209;Kapfenberg;Gewerbestraße
60209;Kapfenberg;Geyereckgasse
60209;Kapfenberg;Goethegasse
60209;Kapfenberg;Grabengasse
60209;Kapfenberg;Graschnitzweg
60209;Kapfenberg;Grazer Straße
60209;Kapfenberg;Grillparzerstraße
60209;Kapfenberg;Gugga
60209;Kapfenberg;Guggasiedlung
60209;Kapfenberg;Gustav-Kramer-Straße
60209;Kapfenberg;Gustav-Mahler-Weg
60209;Kapfenberg;Hafendorf
60209;Kapfenberg;Hainweg
60209;Kapfenberg;Hans-Resel-Gasse
60209;Kapfenberg;Hans-Roch-Weg
60209;Kapfenberg;Haydngasse
60209;Kapfenberg;Heimgasse
60209;Kapfenberg;Heimsiedlung
60209;Kapfenberg;Heimsiedlungsgasse
60209;Kapfenberg;Heinrich-Scheibengraf-Straße
60209;Kapfenberg;Hermann-Löns-Straße
60209;Kapfenberg;Hugo-v.-Hofmannsthal-Weg
60209;Kapfenberg;Hugo-Wolf-Straße
60209;Kapfenberg;Ignaz-Semmelweis-Weg
60209;Kapfenberg;Igo-Etrich-Straße
60209;Kapfenberg;Industriepark
60209;Kapfenberg;Industriestraße Ost
60209;Kapfenberg;Industriestraße West
60209;Kapfenberg;Johann-Böhm-Straße
60209;Kapfenberg;Johann-Brandl-Gasse
60209;Kapfenberg;Johannes-Kepler-Weg
60209;Kapfenberg;Johann-Josef-Fux-Straße
60209;Kapfenberg;Johann-Nestroy-Straße
60209;Kapfenberg;Johann-Strauß-Gasse
60209;Kapfenberg;Josefine-Kettler-Gasse
60209;Kapfenberg;Josef-Madersperger-Weg
60209;Kapfenberg;Josef-Scheu-Straße
60209;Kapfenberg;Josef-Stanek-Gasse
60209;Kapfenberg;Karl-Heinrich-Waggerl-Weg
60209;Kapfenberg;Karl-Maisel-Hof
60209;Kapfenberg;Karl-Schöberl-Hof
60209;Kapfenberg;Karl-Seitz-Gasse
60209;Kapfenberg;Kehr
60209;Kapfenberg;Kendlbachstraße
60209;Kapfenberg;Kernstockgasse
60209;Kapfenberg;Koloman-Wallisch-Gasse
60209;Kapfenberg;Koloman-Wallisch-Platz
60209;Kapfenberg;Konrad-Kainz-Straße
60209;Kapfenberg;Kronawettersiedlung
60209;Kapfenberg;Krottendorf
60209;Kapfenberg;Krottendorfer Straße
60209;Kapfenberg;Lagergasse
60209;Kapfenberg;Lamingbachweg
60209;Kapfenberg;Lannergasse
60209;Kapfenberg;Lanzgraben
60209;Kapfenberg;Lastenstraße
60209;Kapfenberg;Laubengasse
60209;Kapfenberg;Laubtalweg
60209;Kapfenberg;Leharweg
60209;Kapfenberg;Leingraben
60209;Kapfenberg;Leingrabenweg
60209;Kapfenberg;Leitenweg
60209;Kapfenberg;Lenaugasse
60209;Kapfenberg;Lerchengasse
60209;Kapfenberg;Lessingstraße
60209;Kapfenberg;Lindenplatz
60209;Kapfenberg;Linke Mürzzeile
60209;Kapfenberg;Lorenziweg
60209;Kapfenberg;Ludwig-Anzengruber-Weg
60209;Kapfenberg;Ludwig-Boltzmann-Weg
60209;Kapfenberg;Ludwig-Brandner-Gasse
60209;Kapfenberg;Ludwig-Tuller-Gasse
60209;Kapfenberg;M.v.-Ebner-Eschenbach-Siedlung
60209;Kapfenberg;Maigasse
60209;Kapfenberg;Mariazeller Straße
60209;Kapfenberg;Marie-Jahoda-Gasse
60209;Kapfenberg;Martin-Luther-Platz
60209;Kapfenberg;Max-Mell-Weg
60209;Kapfenberg;Meierhofleiten
60209;Kapfenberg;Meierhofstraße
60209;Kapfenberg;Mozartgasse
60209;Kapfenberg;Mühlwiesenweg
60209;Kapfenberg;Mürzbogen
60209;Kapfenberg;Mürzgasse
60209;Kapfenberg;Nelkengasse
60209;Kapfenberg;Nierhammerweg
60209;Kapfenberg;Otto-Hauberger-Straße
60209;Kapfenberg;Parschluger Straße
60209;Kapfenberg;Paula Wallisch-Platz
60209;Kapfenberg;Pestalozzistraße
60209;Kapfenberg;Peter-Tunner-Gasse
60209;Kapfenberg;Pogierweg
60209;Kapfenberg;Pötschachgasse
60209;Kapfenberg;Pötschen
60209;Kapfenberg;Pötschenweg
60209;Kapfenberg;Quellengasse
60209;Kapfenberg;Quergasse
60209;Kapfenberg;Raiffeisenweg
60209;Kapfenberg;Raimundgasse
60209;Kapfenberg;Rainer-Maria-Rilke-Weg
60209;Kapfenberg;Rainweg-Süd
60209;Kapfenberg;Rathausgasse
60209;Kapfenberg;Rechte Mürzzeile
60209;Kapfenberg;Redfeldgasse
60209;Kapfenberg;Reinholzgasse
60209;Kapfenberg;Reiserstraße
60209;Kapfenberg;Reitergasse
60209;Kapfenberg;Rettengraben
60209;Kapfenberg;Richard-Wagner-Gasse
60209;Kapfenberg;Robert-Hamerling-Gasse
60209;Kapfenberg;Robert-Musil-Straße
60209;Kapfenberg;Robert-Schumann-Straße
60209;Kapfenberg;Roseggergasse
60209;Kapfenberg;Rosengasse
60209;Kapfenberg;Sackgasse
60209;Kapfenberg;Schillerstraße
60209;Kapfenberg;Schimpelhofgasse
60209;Kapfenberg;Schinitzgasse
60209;Kapfenberg;Schinitzhof
60209;Kapfenberg;Schirmitzbühelstraße
60209;Kapfenberg;Schloßberg
60209;Kapfenberg;Schloßbergweg
60209;Kapfenberg;Schmiedgasse
60209;Kapfenberg;Schörgendorf
60209;Kapfenberg;Schubertgasse
60209;Kapfenberg;Schulgasse
60209;Kapfenberg;Schwalbengasse
60209;Kapfenberg;Schweighardtweg
60209;Kapfenberg;Seilbahngasse
60209;Kapfenberg;Siebenbrünn-Gasse
60209;Kapfenberg;Siedlerweg
60209;Kapfenberg;Siegfried-Marcus-Straße
60209;Kapfenberg;Sonnenhangsiedlung
60209;Kapfenberg;St.-Martin-Weg
60209;Kapfenberg;Stadtwerkestraße
60209;Kapfenberg;Stefan-Jäger-Straße
60209;Kapfenberg;Stegg
60209;Kapfenberg;Steinerhofallee
60209;Kapfenberg;Stubenberggasse
60209;Kapfenberg;Teichgasse
60209;Kapfenberg;Thomas-Wölbitsch-Gasse
60209;Kapfenberg;Töllergraben
60209;Kapfenberg;Töllermayrgasse
60209;Kapfenberg;Tragösser Straße
60209;Kapfenberg;Uhlandgasse
60209;Kapfenberg;Untere Neusiedlung
60209;Kapfenberg;Viktor-Adler-Straße
60209;Kapfenberg;Viktor-Kaplan-Straße
60209;Kapfenberg;Waldemargasse
60209;Kapfenberg;Waldgasse
